City,Name,Tripadvisor Rate,Popular Mentions,Score,Reviewers#,Excellent,Very good,Average,Poor,Terrible,Exellent_ratio,VG_ratio,Average_ratio,Poor_ratio,Terrible_ratio
Paris,Musee de l’Armee des Invalides,66,"[""napoleon's tomb"", 'army museum', 'military history', 'two world wars', 'french military', 'golden dome', 'napoleon bonaparte', 'louis xiv', 'final resting place', 'impressive collection', 'great museum', 'on display', 'museum pass', 'audio tour', 'beautiful building', 'eiffel tower', 'weapons', 'cannon', 'sword', 'france', 'foch', 'coffin', 'knights', 'veterans', 'rifle', 'conflict', 'chapel', 'centuries', 'material', 'century']",4.5,6836,4001,2169,545,81,44,0.5852837916910474,0.3172908133411352,0.07972498537156232,0.011849034523112931,0.006436512580456407
Paris,Montmartre,14,"['moulin rouge', 'street artists', 'artists painting', 'local artists', 'cobbled streets', 'souvenir shops', 'beautiful area', 'walk around', 'walking tour', 'van gogh', 'crepes', 'visiting paris', 'eiffel tower', 'neighborhood', 'church', 'tourists', 'caricature', 'bohemian', 'abbesses', 'metro', 'stairs', 'bistros', 'pickpockets', 'stroll', 'picasso', 'rue', 'galleries', 'euros']",4.5,20188,12870,5358,1334,414,213,0.6375074301565287,0.2654051912026947,0.0660788587279572,0.0205072320190212,0.010550822270655836
Paris,Petit Palais,30,"['permanent collection', 'free museum', 'beautiful building', 'museum of fine arts', 'grand palace', 'pont alexandre iii', 'on display', 'great art', 'well worth a visit', 'audio guide', 'exhibition', 'sculptures', 'architecture', 'century', 'expos', 'petite', 'champs', 'louvre', 'impressionists', 'artists', 'queue', 'security', 'seine', 'france']",4.5,2360,1403,787,128,22,20,0.5944915254237289,0.33347457627118643,0.05423728813559322,0.009322033898305085,0.00847457627118644
Paris,Parc des Buttes-Chaumont,23,"['beautiful park', 'suspension bridge', 'big park', 'napoleon iii', 'highest point', 'sunny day', 'central paris', 'metro stop', 'waterfall', 'temple', 'picnic', 'paths', 'quarry', 'cliffs', 'trees', 'stroll', 'jogging', 'landscape', 'tourists', 'playground', 'neighborhood', 'height', 'benches']",4.5,2091,1358,632,87,13,2,0.6494500239120038,0.30224772835963654,0.04160688665710186,0.006217120994739359,0.0009564801530368245
Paris,Ile Saint-Louis,31,"['notre dame', 'narrow streets', 'rented an apartment', 'heart of paris', 'right bank', 'de la', 'left bank', 'seine river', 'stroll', 'neighborhood', 'tourists', 'banks', 'century', 'metro']",4.5,4791,3114,1420,225,25,7,0.6499686912961803,0.2963890628261323,0.046963055729492796,0.005218117303276978,0.0014610728449175538
Paris,Musee Marmottan Monet,46,"['la muette', 'hunting lodge', 'small museum', 'beautiful mansion', 'permanent collection', 'special exhibition', 'water lilies', 'love impressionism', 'worth the trip', 'on display', 'great collection', 'metro stop', 'his life', 'art lovers', 'well worth the visit', 'audio guide', 'artists', 'claude', 'gallery', 'movement', 'portraits', 'neighborhood', 'century', 'treasure', 'master', 'euros']",4.5,4025,2816,951,175,43,40,0.6996273291925466,0.23627329192546584,0.043478260869565216,0.010683229813664596,0.009937888198757764
Paris,Île de la Cité,32,"['notre dame', 'sainte chapelle', 'place dauphine', 'palais de justice', 'seine river', 'marie antoinette', 'left bank', 'bird', 'stroll', 'prison', 'louis', 'metro', 'france', 'french']",4.5,5328,3391,1675,231,23,8,0.636448948948949,0.3143768768768769,0.04335585585585586,0.004316816816816817,0.0015015015015015015
Paris,Latin Quarter,48,"['narrow streets', 'notre dame', 'rue mouffetard', 'souvenir shops', 'left bank', 'middle ages', 'walk around', 'sorbonne', 'neighborhood', 'stroll', 'bistros', 'tourists', 'arrondissement', 'parisian']",4.5,4073,2347,1345,292,64,25,0.5762337343481463,0.33022342253866926,0.07169162779278174,0.015713233488828873,0.006137981831573778
Paris,Musee Nissim de Camondo,19,"['family history', 'audio guide', 'eighteenth century', 'arts decoratifs', 'belle epoque', 'private collection', 'well worth a visit', 'his life', 'mansion', 'wealthy', 'tragic', 'nazis', 'moise', 'museum', 'france', 'tapestries', 'insight', 'beauty']",4.5,1983,1492,404,55,12,20,0.7523953605648008,0.2037317196167423,0.02773575390821987,0.006051437216338881,0.010085728693898134
Paris,Champs-Elysees,16,"['famous street', 'louis vuitton', 'beautiful avenue', 'window shopping', 'high end shops', 'place de la concorde', 'designer shops', 'christmas lights', 'lots of shops', 'nice walk', 'tour de france', 'visit paris', 'macaroons', 'eiffel tower', 'champs', 'stroll', 'laduree', 'shoppers', 'lv', 'elysee', 'triumph', 'tourists', 'trees', 'pickpockets', 'euros']",4.0,21608,10801,6392,3298,776,343,0.49986116253239543,0.29581636430951497,0.15262865605331358,0.03591262495372084,0.015873750462791558
Paris,Musee Jacquemart-Andre,74,"['art collection', 'audio guide', 'private collection', 'small museum', 'special exhibit', 'pastry', 'mansion', 'century', 'tiepolo', 'wealthy', 'haussmann', 'tapestries', 'french', 'louvre', 'france']",4.5,4039,2657,1099,168,70,45,0.6578360980440703,0.2720970537261698,0.0415944540727903,0.01733102253032929,0.011141371626640258
Paris,Père-Lachaise Cemetery,73,"['jim morrison', 'oscar wilde', 'pere lachaise', 'buried here', 'final resting place', ""morrison's grave"", 'famous names', 'few hours', 'couple of hours', 'metro station', 'works of art', 'sunny day', 'homes', 'choir', 'gravestones', 'holocaust', 'paths', 'abelard', 'gravesite', 'modigliani', 'death', 'trees', 'stroll', 'graffiti', 'euros', 'parisian']",4.5,6749,3770,2292,537,113,38,0.5586012742628538,0.33960586753593125,0.07956734331012001,0.016743221217958217,0.005630463772410728
Cairo,"Hanging Church (El Muallaqa, Sitt Mariam, St Mary)",7,"['coptic cairo', 'coptic area', 'worth a visit', 'holy family', 'icons', 'babylon', 'architecture', 'pulpit', 'history', 'century', 'pope', 'foundation', 'roman', 'egypt', 'orthodox', 'ruins', 'beauty', 'centuries', 'arabic', 'el', 'itinerary']",4.5,806,477,263,60,4,2,0.5918114143920595,0.326302729528536,0.07444168734491315,0.004962779156327543,0.0024813895781637717
Cairo,Mosque of Muhammad Ali,13,"['beautiful mosque', 'blue mosque in istanbul', 'shoe covers', 'clock tower', 'ottoman style', 'military museum', 'islamic cairo', 'citadel', 'shoes', 'architecture', 'alabaster', 'saladin', 'worship', 'egypt', 'grandeur', 'century']",4.5,2664,1553,832,235,35,9,0.5829579579579579,0.3123123123123123,0.08821321321321321,0.013138138138138139,0.0033783783783783786
Cairo,Al-Azhar Park,12,"['studio masr', 'green space', 'green place', 'garbage dump', 'view restaurant', 'fountain', 'citadel', 'trees', 'aga', 'project', 'stroll', 'outing', 'salah', 'egp', 'egypt']",4.5,943,562,287,74,13,7,0.5959703075291622,0.30434782608695654,0.0784729586426299,0.013785790031813362,0.007423117709437964
Cairo,Zamalek (Gezira Island),18,"['opera house', 'cairo tower', 'marriott hotel', 'july street', 'embassies', 'nile', 'bridge', 'trees', 'architecture', 'palace', 'egypt']",4.5,501,253,181,54,7,6,0.5049900199600799,0.36127744510978044,0.10778443113772455,0.013972055888223553,0.011976047904191617
Cairo,Nile River,22,"['sun deck', 'orbital travel', 'top deck', 'royal viking', 'classic holidays', 'abu simbel', 'day cruise', 'meal times', 'agatha christie', 'drinks package', 'early start', 'lunch and dinner', 'bottled water', 'discover egypt', 'kom ombo', 'belly dancer', 'whirling dervish', 'egyptian pounds', 'nubian village', 'sound and light show', 'karnak temple', 'ancient egypt', 'tour company', 'felt very safe', 'cabin', 'boats', 'ship', 'ms', 'crew', 'nile']",4.5,3159,2194,559,206,93,107,0.6945235834124723,0.17695473251028807,0.0652105096549541,0.029439696106362774,0.033871478315922764
Cairo,Coptic Cairo,9,"['hanging church', 'holy family', 'ben ezra synagogue', 'st george', 'mar girgis', 'religious history', 'worth a visit', 'lots of history', 'babylon', 'bacchus', 'saints', 'fortress', 'centuries', 'cave', 'architecture', 'century', 'sites', 'egyptians', 'souvenirs', 'nile']",4.5,2084,1312,592,146,21,13,0.6295585412667947,0.2840690978886756,0.07005758157389635,0.010076775431861805,0.006238003838771593
Cairo,Khan Al-Khalili,27,"['shop owners', 'el fishawy', 'shops selling', 'buy souvenirs', 'for sale', 'bazaar', 'bargaining', 'vendors', 'tourists', 'gifts', 'maze', 'merchandise', 'bargains', 'egypt', 'clothing', 'arabic', 'hassle', 'pyramids']",4.0,4056,1805,1347,611,180,114,0.44501972386587774,0.33210059171597633,0.15064102564102563,0.04437869822485207,0.028106508875739646
Cairo,Cairo Citadel,19,"['military museum', 'mohammed ali mosque', 'worth a visit', 'salah al din', 'beautiful architecture', 'shoe covers', 'egyptian pounds', 'on display', 'take pictures', 'saladin', 'shoes', 'fortifications', 'prison', 'skyline', 'army', 'alabaster', 'century', 'structure', 'smog', 'domes', 'tourists', 'egp', 'sultan', 'landmark', 'leader']",4.5,1259,644,429,141,34,11,0.511517077045274,0.34074662430500396,0.11199364575059571,0.027005559968228753,0.008737092930897538
Cairo,The Museum of Egyptian Antiquities,1,"['king tut', 'amazing collection', 'royal mummies', 'death mask', 'on display', 'gold mask', 'take photos', 'tahrir square', 'ancient egypt', 'egyptian pounds', 'exhibits', 'mummy', 'camera', 'sarcophagus', 'tuts', 'guide', 'coffin', 'contents', 'thousands', 'signage', 'jewelry', 'kingdom', 'civilization', 'highlights', 'pyramids', 'egp', 'awe', 'kings', 'egyptians', 'egyptology']",4.5,12859,8158,3157,1142,271,131,0.6344194727428261,0.24550898203592814,0.08880939419861575,0.021074733649583947,0.010187417373046116
Cairo,Islamic Cairo,6,"['al azhar', 'architecture', 'citadel', 'sultan', 'din', 'bazaar', 'heritage', 'century', 'centuries', 'egp', 'vendors', 'souvenirs']",4.5,801,539,196,49,9,8,0.6729088639200999,0.24469413233458176,0.06117353308364544,0.011235955056179775,0.009987515605493134
Cairo,Gayer-Anderson Museum (Bayt al-Kiritliya),2,"['british army', 'james bond', 'ibn tulun', 'ceiling beams', 'oriental art', 'private collection', 'houses joined together', 'future generations', 'take photos', 'spy', 'collector', 'century', 'architecture', 'wealthy', 'syrian', 'artifacts', 'movie', 'centuries', 'fountain', 'ottoman', 'housing', 'egypt', 'insight', 'series', 'scenes', 'chamber', 'sphinx']",4.5,216,159,42,13,1,1,0.7361111111111112,0.19444444444444445,0.06018518518518518,0.004629629629629629,0.004629629629629629
Cairo,Cairo Festival City Mall,14,"['great mall', 'international brands', 'musical fountain', 'magic planet', 'ikea', 'cinema', 'outing']",4.5,435,256,135,33,5,6,0.5885057471264368,0.3103448275862069,0.07586206896551724,0.011494252873563218,0.013793103448275862
Cairo,The Coptic Museum,16,"['coptic cairo', 'hanging church', 'collection', 'artifacts', 'history', 'roman', 'visitors', 'egypt', 'islam', 'arab']",4.5,324,173,109,31,8,3,0.5339506172839507,0.33641975308641975,0.09567901234567901,0.024691358024691357,0.009259259259259259
Cairo,Cave Church,4,"['garbage city', 'garbage collectors', 'zip line', 'biblical stories', 'carvings', 'carved', 'poverty', 'donation', 'scenes', 'worship', 'thousands', 'pyramids']",4.5,351,262,65,15,5,4,0.7464387464387464,0.18518518518518517,0.042735042735042736,0.014245014245014245,0.011396011396011397
Cairo,Mosque and Madrasa of Sultan Hassan,10,"['huge mosque', 'islamic cairo', 'open courtyard', 'beautiful building', 'school', 'citadel', 'structure', 'acoustics', 'rebel', 'shoes', 'masterpiece', 'egypt', 'ibn']",4.5,450,303,117,28,2,0,0.6733333333333333,0.26,0.06222222222222222,0.0044444444444444444,0.0
Cairo,City Stars Mall,17,"['huge mall', 'international brands', 'intercontinental hotel', 'holiday inn', 'food court is', 'brand shops', 'latest movies', 'khan el', 'cinema', 'egypt', 'jewelry']",4.5,472,238,178,44,6,6,0.5042372881355932,0.3771186440677966,0.09322033898305085,0.012711864406779662,0.012711864406779662
Cairo,Sharia Al Mu'izz Li-Din Allah,3,"['islamic architecture', 'km walk', 'naguib mahfouz', 'entrance ticket', 'mausoleum', 'bab', 'el', 'armies', 'victory', 'egypt', 'dome', 'dynasty', 'arabic', 'centuries', 'tourists', 'sites']",4.5,276,204,53,15,1,3,0.7391304347826086,0.19202898550724637,0.05434782608695652,0.0036231884057971015,0.010869565217391304
Cairo,Al-Azhar Mosque,8,"['mosque area', 'prayer hall', 'worth a visit', 'islamic architecture', 'scholars', 'century', 'library', 'bazaar', 'tourists', 'citadel']",4.5,376,239,101,25,6,5,0.6356382978723404,0.26861702127659576,0.06648936170212766,0.015957446808510637,0.013297872340425532
Cairo,Cairo Tower,30,"['revolving restaurant', 'observation deck', 'tallest structure', 'nile river', 'egyptian museum', 'telescope', 'smog', 'height', 'gezira', 'hazy', 'skyline', 'egyptians', 'egp', 'lotus']",4.0,1176,442,400,236,53,45,0.3758503401360544,0.3401360544217687,0.20068027210884354,0.045068027210884355,0.03826530612244898
Cairo,Mosque of Ibn Tulun,5,"['gayer anderson', 'original form', 'land area', 'islamic cairo', 'local guide', 'minaret', 'climb', 'structure', 'tower', 'surviving', 'egypt', 'tourists', 'legend', 'beauty']",4.5,403,273,99,25,4,2,0.6774193548387096,0.2456575682382134,0.062034739454094295,0.009925558312655087,0.004962779156327543
Cairo,Cairo Opera House,36,"['performance', 'tickets']",4.0,150,75,52,14,3,6,0.5,0.3466666666666667,0.09333333333333334,0.02,0.04
Cairo,Church of St. Sergius and Bacchus,11,"['holy family', 'infant jesus', 'virgin mary', 'cave', 'saints', 'sanctuary', 'egypt', 'syrian', 'beliefs', 'fort', 'art']",4.5,176,94,65,17,0,0,0.5340909090909091,0.3693181818181818,0.09659090909090909,0.0,0.0
Cairo,Al Rifai Mosque,21,"['huge mosque', 'stunning architecture', 'sultan', 'pillars']",4.5,169,102,55,9,3,0,0.6035502958579881,0.3254437869822485,0.05325443786982249,0.01775147928994083,0.0
Cairo,Heliopolis,28,['century'],4.5,166,85,56,21,2,2,0.5120481927710844,0.3373493975903614,0.12650602409638553,0.012048192771084338,0.012048192771084338
Cairo,Manial Palace Museum,24,['empty'],4.5,145,91,40,12,1,1,0.6275862068965518,0.27586206896551724,0.08275862068965517,0.006896551724137931,0.006896551724137931
Cairo,Abdeen Palace Museum,37,"['guns', 'sword', 'paintings', 'egypt', 'beauty']",4.0,82,37,27,17,1,0,0.45121951219512196,0.32926829268292684,0.2073170731707317,0.012195121951219513,0.0
Cairo,Museum of Islamic Arts,20,"['on display', 'well worth a visit', 'vast collection', 'egyptian civilization', 'ceramics', 'arabic', 'visitors', 'coins', 'architecture', 'sword', 'viewing', 'palace']",4.5,149,99,39,8,2,1,0.6644295302013423,0.26174496644295303,0.053691275167785234,0.013422818791946308,0.006711409395973154
Cairo,Coptic Orthodox Church of St. George (Mari Girgis),15,"['gift shop', 'century', 'babylon', 'structure', 'destroyed']",4.5,232,113,98,20,1,0,0.4870689655172414,0.4224137931034483,0.08620689655172414,0.004310344827586207,0.0
Cairo,Mall of Arabia Cairo,25,"['branded shops', 'fountain', 'stalls', 'movie']",4.5,231,109,88,25,5,4,0.47186147186147187,0.38095238095238093,0.10822510822510822,0.021645021645021644,0.017316017316017316
Cairo,National Museum of Egyptian Civilization NEMC,23,"['royal mummies', 'main hall', 'mummy collection', 'beautiful lake', 'gift shop', 'chronological order', 'school children', 'on display', 'ramses ii', 'entrance fee', 'take pictures', 'tour guide', 'king tut', 'textiles', 'exhibits', 'stages', 'signage', 'cloakroom', 'parade', 'prehistoric', 'development', 'information', 'arabic', 'visitors', 'kingdoms', 'eras', 'egypt', 'prohibited', 'overview', 'camera']",4.5,119,74,31,6,6,2,0.6218487394957983,0.2605042016806723,0.05042016806722689,0.05042016806722689,0.01680672268907563
